[18:20:21,891][INFO][4888][ape.py:672] ==============CONFIG DATA======================
[18:20:21,891][INFO][4888][ape.py:673] pancake_factory_addr= 0x0841BD0B734E4F5853f0dD8d7Ea041c241fb0Da6
[18:20:21,891][INFO][4888][ape.py:674] pancake_router_addr= 0xcF0feBd3f17CEf5b47b0cD257aCf6025c5BFf3b7
[18:20:21,891][INFO][4888][ape.py:675] sound_alamp= True
[18:20:21,891][INFO][4888][ape.py:676] msg_notifi= True
[18:20:21,892][INFO][4888][ape.py:677] notifi_delay= 1.0
[18:20:21,892][INFO][4888][ape.py:678] get_price_delay= 2.0
[18:20:21,892][INFO][4888][ape.py:679] ==============END CONFIG DATA======================
[18:20:21,893][INFO][4888][ape.py:705] Telegram bot connected
[18:20:26,968][INFO][4888][ape.py:280] Sound Alert
[18:20:28,100][INFO][4888][ape.py:209] Connected to BSC
[18:20:28,101][INFO][4888][ape.py:210] Wallet Address: 0x7368417235b39204D4F33d87A3b527b130a9aa23
[18:20:28,104][INFO][4888][ape.py:756] Slippage Tolerance: 2.000. Flexible Slippage: False. Amount In: 1000.000. Gas Price: 8000000000. Gas: 230000. Time limit: 600
[18:20:28,104][INFO][4888][ape.py:776] Token list: 0x308bfaeAaC8BDab6e9Fc5Ead8EdCb5f95b0599d9 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
[18:20:28,112][INFO][4888][ape.py:756] Slippage Tolerance: 2.000. Flexible Slippage: False. Amount In: 100000.000. Gas Price: 8000000000. Gas: 230000. Time limit: 600
[18:20:28,112][INFO][4888][ape.py:776] Token list: 0xcaF5191fc480F43e4DF80106c7695ECA56E48B18 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
[18:20:28,114][INFO][4888][ape.py:756] Slippage Tolerance: 2.000. Flexible Slippage: False. Amount In: 1000.000. Gas Price: 8000000000. Gas: 230000. Time limit: 600
[18:20:28,114][INFO][4888][ape.py:776] Token list: 0x1FFD0b47127fdd4097E54521C9E2c7f0D66AafC5 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
[18:20:28,878][INFO][10384][ape.py:448] Started checking price:DEP/WBNB
[18:20:29,176][INFO][4888][ape.py:295] Message Notification:Bot started
[18:20:29,513][INFO][14212][ape.py:448] Started checking price:ONG/WBNB
[18:20:30,114][INFO][4528][ape.py:448] Started checking price:TXL/WBNB
[18:20:32,471][ERROR][4528][ape.py:474] Block changed fast: from 10847996 to 10847998 >> clear the price_queue
[18:21:38,913][INFO][14212][ape.py:496] Block: 10848020, ONG/WBNB Price:  0.002626
[18:21:39,106][INFO][4528][ape.py:496] Block: 10848020, TXL/WBNB Price:  0.000809
[18:21:41,397][INFO][4528][ape.py:496] Block: 10848021, TXL/WBNB Price:  0.000809
[18:21:41,569][INFO][10384][ape.py:496] Block: 10848021, DEP/WBNB Price:  0.000022
[18:21:41,634][INFO][14212][ape.py:496] Block: 10848021, ONG/WBNB Price:  0.002626
[18:21:43,967][INFO][14212][ape.py:496] Block: 10848022, ONG/WBNB Price:  0.002626
[18:21:44,114][INFO][4528][ape.py:496] Block: 10848022, TXL/WBNB Price:  0.000809
[18:21:44,288][INFO][10384][ape.py:496] Block: 10848022, DEP/WBNB Price:  0.000022
[18:21:46,586][INFO][10384][ape.py:496] Block: 10848023, DEP/WBNB Price:  0.000022
[18:21:48,897][INFO][4528][ape.py:496] Block: 10848023, TXL/WBNB Price:  0.000809
[18:21:49,182][INFO][14212][ape.py:496] Block: 10848023, ONG/WBNB Price:  0.002626
[18:21:51,514][INFO][14212][ape.py:496] Block: 10848024, ONG/WBNB Price:  0.002626
[18:21:51,659][INFO][4528][ape.py:496] Block: 10848024, TXL/WBNB Price:  0.000809
[18:21:51,822][INFO][10384][ape.py:496] Block: 10848024, DEP/WBNB Price:  0.000022
[18:21:54,122][INFO][10384][ape.py:496] Block: 10848025, DEP/WBNB Price:  0.000022
[18:21:54,222][INFO][14212][ape.py:496] Block: 10848025, ONG/WBNB Price:  0.002626
[18:21:54,367][INFO][4528][ape.py:496] Block: 10848025, TXL/WBNB Price:  0.000809
[18:21:56,688][INFO][4528][ape.py:496] Block: 10848026, TXL/WBNB Price:  0.000809
[18:21:56,857][INFO][10384][ape.py:496] Block: 10848026, DEP/WBNB Price:  0.000022
[18:21:56,930][INFO][14212][ape.py:496] Block: 10848026, ONG/WBNB Price:  0.002626
[18:21:59,259][INFO][14212][ape.py:496] Block: 10848027, ONG/WBNB Price:  0.002626
[18:21:59,406][INFO][4528][ape.py:496] Block: 10848027, TXL/WBNB Price:  0.000809
[18:21:59,617][INFO][10384][ape.py:496] Block: 10848027, DEP/WBNB Price:  0.000022
[18:22:01,831][INFO][4528][ape.py:496] Block: 10848028, TXL/WBNB Price:  0.000809
[18:22:01,965][INFO][14212][ape.py:496] Block: 10848028, ONG/WBNB Price:  0.002626
[18:22:02,324][INFO][10384][ape.py:496] Block: 10848028, DEP/WBNB Price:  0.000022
[18:22:07,030][INFO][4528][ape.py:496] Block: 10848029, TXL/WBNB Price:  0.000809
[18:22:07,107][INFO][10384][ape.py:496] Block: 10848029, DEP/WBNB Price:  0.000022
[18:22:07,172][INFO][14212][ape.py:496] Block: 10848029, ONG/WBNB Price:  0.002626
